scope,metric,mean,std,min,max,median
inner_train,balanced_accuracy,0.8060355436750193,0.026112426458632217,0.7588543430183787,0.8683478709356323,0.8063307946714189
inner_train,precision,0.8230066212445268,0.034413282796422556,0.760402012160526,0.8988760883079768,0.8175891418522998
inner_train,recall,0.6402105263157895,0.04884692442958013,0.5474970760233918,0.7536725146198829,0.6386783625730994
inner_train,f1,0.7139537839500889,0.041793706566148434,0.6427392580519584,0.8151140654905294,0.7108029361641701
inner_train,pr_auc,0.84294849652252,0.0357456033489317,0.7866409903911065,0.9276983340385841,0.8379578997621921
inner_validation,balanced_accuracy,0.662584541062802,0.010411385134490006,0.6436811594202899,0.6833260869565217,0.6629166666666666
inner_validation,precision,0.5980513227513228,0.05300576348149638,0.4814761904761905,0.6935238095238094,0.6029047619047618
inner_validation,recall,0.38033333333333336,0.017349020310874232,0.348,0.41600000000000004,0.379
inner_validation,f1,0.4381595811595812,0.024318783243120087,0.38512309912309917,0.49372005772005767,0.43857431457431456
inner_validation,pr_auc,0.5194210223554924,0.016281921026828666,0.4832076723534137,0.5637920177380582,0.5174047388270793
outer_test,balanced_accuracy,0.6677164750957855,0.015107921320934399,0.6358620689655172,0.693103448275862,0.6663793103448277
outer_test,precision,0.6512460317460318,0.08436973823718345,0.513888888888889,0.8833333333333334,0.6344444444444445
outer_test,recall,0.3893333333333333,0.020979829758722555,0.3466666666666667,0.42666666666666664,0.3866666666666666
outer_test,f1,0.45572183372183367,0.03696656117832452,0.37396825396825395,0.5244444444444445,0.44774891774891773
outer_test,pr_auc,0.4999461785195943,0.028722153571641956,0.451623321091364,0.5669968241049834,0.5043192854969079
