evaluation_strategy,classifier,model_name,scope,metric,mean,std,min,max,median
nested_cv,linear_svm,mofa_trained_lg2,outer_test,balanced_accuracy,0.6540919540229884,0.0260581128177149,0.5948275862068966,0.6986206896551723,0.6552873563218391
nested_cv,linear_svm,mofa_trained_lg2,outer_test,precision,0.3894258165581695,0.059564248112167,0.2743001443001443,0.55,0.3808874458874458
nested_cv,linear_svm,mofa_trained_lg2,outer_test,recall,0.4733333333333333,0.0392262325237546,0.3666666666666666,0.5266666666666666,0.48
nested_cv,linear_svm,mofa_trained_lg2,outer_test,f1,0.4079929952863725,0.0403947332955026,0.3308683473389355,0.4948717948717949,0.4086483073170379
nested_cv,linear_svm,mofa_trained_lg2,outer_test,pr_auc,0.5203240526007629,0.0326085763366452,0.4605920580067111,0.5716400797549156,0.5216095675197768
nested_cv,linear_svm,mofa_trained_lg2_fs,outer_test,balanced_accuracy,0.6712107279693487,0.0330113155804798,0.597816091954023,0.7344827586206897,0.6746551724137932
nested_cv,linear_svm,mofa_trained_lg2_fs,outer_test,precision,0.3662605586134998,0.0538507430970726,0.2574025974025974,0.5392857142857143,0.3592948717948717
nested_cv,linear_svm,mofa_trained_lg2_fs,outer_test,recall,0.5366666666666666,0.0570474024848476,0.4333333333333333,0.6666666666666667,0.5233333333333333
nested_cv,linear_svm,mofa_trained_lg2_fs,outer_test,f1,0.421766766386971,0.0442443665861839,0.3198739495798319,0.5021225832990539,0.4206959706959706
nested_cv,linear_svm,mofa_trained_lg2_fs,outer_test,pr_auc,0.5432214876950446,0.0456661642483952,0.458934572058613,0.6549613110388972,0.5475274239142345
nested_cv,linear_svm,mofa_trained_vsn,outer_test,balanced_accuracy,0.6564750957854407,0.0242071998060841,0.6210344827586207,0.7118390804597701,0.6516091954022989
nested_cv,linear_svm,mofa_trained_vsn,outer_test,precision,0.3889171569171568,0.0562241439404476,0.2813675213675213,0.5004545454545455,0.3869696969696969
nested_cv,linear_svm,mofa_trained_vsn,outer_test,recall,0.4813333333333334,0.0379311738067799,0.4066666666666666,0.5599999999999999,0.4833333333333333
nested_cv,linear_svm,mofa_trained_vsn,outer_test,f1,0.4064410729735807,0.0345731186854801,0.347209653092006,0.4839826839826839,0.4033638583638583
nested_cv,linear_svm,mofa_trained_vsn,outer_test,pr_auc,0.530679206411023,0.0392973467782118,0.4551934489138912,0.5904370470299278,0.5253646840170302
nested_cv,linear_svm,mofa_trained_vsn_fs,outer_test,balanced_accuracy,0.6774980842911877,0.0264632668746193,0.6247126436781609,0.7217241379310344,0.6764367816091954
nested_cv,linear_svm,mofa_trained_vsn_fs,outer_test,precision,0.3775978558478557,0.0413914274589915,0.3,0.5105555555555557,0.3738453213453213
nested_cv,linear_svm,mofa_trained_vsn_fs,outer_test,recall,0.546222222222222,0.0443577698907498,0.4666666666666667,0.6333333333333334,0.54
nested_cv,linear_svm,mofa_trained_vsn_fs,outer_test,f1,0.4313477672425041,0.0361795035383468,0.3658851674641148,0.5009523809523809,0.4308600171758067
nested_cv,linear_svm,mofa_trained_vsn_fs,outer_test,pr_auc,0.5426634253017099,0.0368333056956577,0.4747302342933023,0.6291869161197805,0.5435677141065636
nested_cv,random_forest,mofa_trained_lg2,outer_test,balanced_accuracy,0.6677164750957855,0.0151079213209343,0.6358620689655172,0.693103448275862,0.6663793103448277
nested_cv,random_forest,mofa_trained_lg2,outer_test,precision,0.6512460317460318,0.0843697382371834,0.513888888888889,0.8833333333333334,0.6344444444444445
nested_cv,random_forest,mofa_trained_lg2,outer_test,recall,0.3893333333333333,0.0209798297587225,0.3466666666666667,0.4266666666666666,0.3866666666666666
nested_cv,random_forest,mofa_trained_lg2,outer_test,f1,0.4557218337218336,0.0369665611783245,0.3739682539682539,0.5244444444444445,0.4477489177489177
nested_cv,random_forest,mofa_trained_lg2,outer_test,pr_auc,0.4999461785195943,0.0287221535716419,0.451623321091364,0.5669968241049834,0.5043192854969079
nested_cv,random_forest,mofa_trained_lg2_fs,outer_test,balanced_accuracy,0.6227739463601534,0.0204210719753347,0.5690804597701149,0.6560919540229884,0.630632183908046
nested_cv,random_forest,mofa_trained_lg2_fs,outer_test,precision,0.4819295334295335,0.0892800284916836,0.2612121212121212,0.6696969696969697,0.4984523809523809
nested_cv,random_forest,mofa_trained_lg2_fs,outer_test,recall,0.3364444444444444,0.0450366673373278,0.2533333333333333,0.42,0.3466666666666667
nested_cv,random_forest,mofa_trained_lg2_fs,outer_test,f1,0.3639953042027345,0.0431359825279072,0.228030303030303,0.4332600732600732,0.3761804861804861
nested_cv,random_forest,mofa_trained_lg2_fs,outer_test,pr_auc,0.4542793210555253,0.0384320234088536,0.3896545872810063,0.5593059657115427,0.4524915629017764
nested_cv,random_forest,mofa_trained_vsn,outer_test,balanced_accuracy,0.6487164750957854,0.0181565812920587,0.6028735632183908,0.679655172413793,0.6528735632183909
nested_cv,random_forest,mofa_trained_vsn,outer_test,precision,0.6216296296296294,0.0636880722872063,0.4642857142857142,0.7416666666666666,0.6183333333333333
nested_cv,random_forest,mofa_trained_vsn,outer_test,recall,0.3515555555555555,0.0368046862472341,0.2733333333333333,0.4133333333333334,0.3566666666666667
nested_cv,random_forest,mofa_trained_vsn,outer_test,f1,0.4179754504754504,0.0399188205955523,0.3221778221778222,0.4766666666666667,0.4208080808080807
nested_cv,random_forest,mofa_trained_vsn,outer_test,pr_auc,0.5008805086349208,0.0262946510383935,0.4427664253818612,0.5584125255537936,0.5028406842234509
nested_cv,random_forest,mofa_trained_vsn_fs,outer_test,balanced_accuracy,0.6314521072796935,0.0184901568077025,0.5755172413793104,0.6595402298850576,0.6355747126436782
nested_cv,random_forest,mofa_trained_vsn_fs,outer_test,precision,0.5033576238576238,0.1000691205498833,0.3199999999999999,0.725,0.5192207792207792
nested_cv,random_forest,mofa_trained_vsn_fs,outer_test,recall,0.3397777777777777,0.0330555475063578,0.24,0.3866666666666666,0.3466666666666667
nested_cv,random_forest,mofa_trained_vsn_fs,outer_test,f1,0.3740993015698898,0.0393234710275288,0.2675990675990676,0.4388888888888889,0.3793825618825619
nested_cv,random_forest,mofa_trained_vsn_fs,outer_test,pr_auc,0.483484426936834,0.0338749399710737,0.4132957027511107,0.5403134221179762,0.4868509079819935
