scope,metric,mean,std,min,max,median
inner_train,balanced_accuracy,0.767696972336278,0.007657513460445466,0.7551492371973172,0.7842738383364039,0.7672838484910515
inner_train,precision,0.46803728371446407,0.011548642291045477,0.4492255141259013,0.4970225979440041,0.47035304492264707
inner_train,recall,0.6959442495126705,0.017212516851801387,0.6657543859649122,0.7305964912280702,0.6919707602339181
inner_train,f1,0.5562690000124297,0.009612400780524675,0.5376055482106364,0.577128393821774,0.5557150398327902
inner_train,pr_auc,0.6745518526294177,0.006202152957217625,0.6630980619744786,0.6839940945538276,0.6753228792084289
inner_validation,balanced_accuracy,0.6762934782608696,0.014436048956843708,0.6509855072463768,0.705463768115942,0.6733079710144928
inner_validation,precision,0.3853712766765398,0.023348034006407243,0.3411489621489622,0.42626551226551224,0.38668831168831164
inner_validation,recall,0.5406666666666666,0.028349217994850236,0.484,0.596,0.542
inner_validation,f1,0.4303648228077492,0.02085172855283951,0.3964164724164724,0.47313969656074917,0.4238903808609691
inner_validation,pr_auc,0.5550245143297424,0.014532326512385896,0.509875142902338,0.5799553830135604,0.5565190093984014
outer_test,balanced_accuracy,0.6774980842911877,0.026463266874619345,0.6247126436781609,0.7217241379310344,0.6764367816091954
outer_test,precision,0.37759785584785577,0.041391427458991555,0.3,0.5105555555555557,0.37384532134532134
outer_test,recall,0.546222222222222,0.044357769890749875,0.4666666666666667,0.6333333333333334,0.54
outer_test,f1,0.4313477672425041,0.036179503538346834,0.36588516746411487,0.5009523809523809,0.4308600171758067
outer_test,pr_auc,0.5426634253017099,0.0368333056956577,0.4747302342933023,0.6291869161197805,0.5435677141065636
