scope,metric,mean,std,min,max,median
inner_train,balanced_accuracy,0.7525891988799117,0.006955233863444856,0.7436974717736918,0.7740208391030194,0.7525190369540873
inner_train,precision,0.47073402799324426,0.009866144259310145,0.45212515450602214,0.48946780412115,0.470671613679132
inner_train,recall,0.6576756335282651,0.01775733877057349,0.6308187134502925,0.71246783625731,0.6557777777777778
inner_train,f1,0.544029651986397,0.007358727850188497,0.532205511934458,0.5626078874232588,0.5430851499766931
inner_train,pr_auc,0.6661202629087004,0.006280715436851606,0.6569738433790671,0.6842428592357681,0.6659259649746718
inner_validation,balanced_accuracy,0.6516449275362319,0.011813417077110089,0.6299057971014493,0.6762028985507247,0.6532065217391305
inner_validation,precision,0.3596564444270326,0.02430525168807909,0.3231616161616162,0.4133333333333333,0.3572106782106782
inner_validation,recall,0.4923333333333334,0.02225298636810013,0.44000000000000006,0.524,0.4960000000000001
inner_validation,f1,0.39584910042371335,0.02061245774781902,0.36529724523842166,0.43414317708435357,0.3938718477944484
inner_validation,pr_auc,0.541439073384543,0.01880622925345288,0.4959545065499952,0.5907280889456159,0.540720247104914
outer_test,balanced_accuracy,0.6564750957854407,0.024207199806084174,0.6210344827586207,0.7118390804597701,0.6516091954022989
outer_test,precision,0.38891715691715684,0.056224143940447606,0.28136752136752136,0.5004545454545455,0.38696969696969696
outer_test,recall,0.4813333333333334,0.03793117380677999,0.4066666666666666,0.5599999999999999,0.4833333333333333
outer_test,f1,0.40644107297358073,0.03457311868548018,0.347209653092006,0.48398268398268396,0.40336385836385835
outer_test,pr_auc,0.530679206411023,0.03929734677821186,0.4551934489138912,0.5904370470299278,0.5253646840170302
