scope,metric,mean,std,min,max,median
inner_train,balanced_accuracy,0.7613342075160446,0.00919949617209876,0.7407724034405391,0.7775268134876198,0.7617732964876158
inner_train,precision,0.4561685723623595,0.010375721433447033,0.4401889052789909,0.48020296785740246,0.4545998883717781
inner_train,recall,0.6890549707602338,0.019923634208510493,0.6530058479532163,0.7298713450292398,0.691345029239766
inner_train,f1,0.5450735892438848,0.010656480230081568,0.521401868506712,0.5692706575556248,0.5435766877330029
inner_train,pr_auc,0.6688370816741315,0.006093138866226482,0.6579019315882364,0.6811038594572703,0.6685069978239817
inner_validation,balanced_accuracy,0.6748971014492754,0.011410724386200225,0.6501884057971015,0.6937753623188405,0.6771268115942028
inner_validation,precision,0.3793730313259725,0.025284975747565674,0.33349783549783546,0.44994627594627595,0.3817832167832168
inner_validation,recall,0.5425333333333333,0.022221042114259147,0.49399999999999994,0.574,0.5449999999999999
inner_validation,f1,0.428256434506899,0.01931552611391852,0.3814481074481074,0.4784826284826285,0.4255683401565755
inner_validation,pr_auc,0.5600955498180759,0.013001419590459595,0.5302039142983617,0.5901289891984844,0.5570206322529703
outer_test,balanced_accuracy,0.6712107279693487,0.03301131558047988,0.597816091954023,0.7344827586206897,0.6746551724137932
outer_test,precision,0.3662605586134998,0.05385074309707267,0.2574025974025974,0.5392857142857143,0.35929487179487174
outer_test,recall,0.5366666666666666,0.05704740248484763,0.4333333333333333,0.6666666666666667,0.5233333333333333
outer_test,f1,0.421766766386971,0.04424436658618396,0.3198739495798319,0.5021225832990539,0.42069597069597064
outer_test,pr_auc,0.5432214876950446,0.04566616424839525,0.458934572058613,0.6549613110388972,0.5475274239142345
