scope,metric,mean,std,min,max,median
inner_train,balanced_accuracy,0.8448448594604792,0.024362423839942454,0.8043149787073496,0.9120109092222665,0.846989490140359
inner_train,precision,0.7706856979383565,0.05020344877591703,0.6876073459297544,0.8933864071944567,0.7695598780837575
inner_train,recall,0.7392959064327483,0.04253168970584847,0.6605380116959065,0.8444210526315791,0.7387660818713451
inner_train,f1,0.7453578460118394,0.04198862006946882,0.6771550442249638,0.8646857164179679,0.7393422779142184
inner_train,pr_auc,0.8516671037091169,0.034746382231146296,0.7898959080181213,0.9440248327422662,0.8504682929561671
inner_validation,balanced_accuracy,0.6163106280193238,0.016454167643505515,0.5804637681159421,0.6504420289855073,0.6179710144927537
inner_validation,precision,0.4467056388056389,0.05159095272913297,0.3526666666666667,0.5666507936507937,0.4439444444444444
inner_validation,recall,0.3211333333333333,0.032592291592712035,0.256,0.39399999999999996,0.32399999999999995
inner_validation,f1,0.3453585810588906,0.03321616977385356,0.2635646575646576,0.40500499500499504,0.34971894771894774
inner_validation,pr_auc,0.48227936739498656,0.02111913334253766,0.43015848772757204,0.5283059955356261,0.4853484940842126
outer_test,balanced_accuracy,0.6227739463601534,0.02042107197533479,0.5690804597701149,0.6560919540229884,0.630632183908046
outer_test,precision,0.4819295334295335,0.0892800284916836,0.2612121212121212,0.6696969696969697,0.4984523809523809
outer_test,recall,0.3364444444444444,0.04503666733732782,0.2533333333333333,0.42000000000000004,0.3466666666666667
outer_test,f1,0.3639953042027345,0.04313598252790727,0.22803030303030303,0.4332600732600732,0.37618048618048616
outer_test,pr_auc,0.4542793210555253,0.03843202340885361,0.3896545872810063,0.5593059657115427,0.4524915629017764
