evaluation_strategy,classifier,model_name,scope,metric,mean,std,min,max,median
train_test_split,linear_svm,mofa_trained_lg2,test,balanced_accuracy,0.6644444444444445,0.0799584822024374,0.5333333333333333,0.8833333333333333,0.6666666666666667
train_test_split,linear_svm,mofa_trained_lg2,test,precision,0.3960004347504348,0.1733585312243589,0.1875,1.0,0.3693181818181818
train_test_split,linear_svm,mofa_trained_lg2,test,recall,0.5166666666666666,0.1658023566055039,0.3333333333333333,0.8333333333333334,0.5
train_test_split,linear_svm,mofa_trained_lg2,test,f1,0.4249398961318466,0.1121804865352483,0.25,0.7692307692307693,0.4285714285714285
train_test_split,linear_svm,mofa_trained_lg2,test,pr_auc,0.5522651493669191,0.1424332785155254,0.2437465059168913,0.834126984126984,0.5244151864217653
train_test_split,linear_svm,mofa_trained_lg2_fs,test,balanced_accuracy,0.6822222222222221,0.0968798020274012,0.3666666666666666,0.8333333333333334,0.7
train_test_split,linear_svm,mofa_trained_lg2_fs,test,precision,0.3729863654863654,0.1237849891620912,0.0,0.6,0.3875
train_test_split,linear_svm,mofa_trained_lg2_fs,test,recall,0.5666666666666667,0.1937727863253932,0.0,0.8333333333333334,0.6666666666666666
train_test_split,linear_svm,mofa_trained_lg2_fs,test,f1,0.4391919240603451,0.1323269827009037,0.0,0.625,0.4880952380952381
train_test_split,linear_svm,mofa_trained_lg2_fs,test,pr_auc,0.5768718503888964,0.1530393027949831,0.1462370383148371,0.8383458646616541,0.6028121184371185
train_test_split,linear_svm,mofa_trained_vsn,test,balanced_accuracy,0.6572222222222222,0.0849479594280133,0.3666666666666666,0.7666666666666666,0.6666666666666667
train_test_split,linear_svm,mofa_trained_vsn,test,precision,0.391487493987494,0.1869948042694433,0.0,1.0,0.3693181818181818
train_test_split,linear_svm,mofa_trained_vsn,test,recall,0.4999999999999999,0.1695158759052026,0.0,0.8333333333333334,0.5
train_test_split,linear_svm,mofa_trained_vsn,test,f1,0.4166095669036845,0.129641942150936,0.0,0.6,0.445054945054945
train_test_split,linear_svm,mofa_trained_vsn,test,pr_auc,0.5606718911573503,0.1397468310238175,0.1536551055553938,0.7573529411764706,0.5931125773867709
train_test_split,linear_svm,mofa_trained_vsn_fs,test,balanced_accuracy,0.6883333333333336,0.0951053056200763,0.4666666666666667,0.8500000000000001,0.7250000000000001
train_test_split,linear_svm,mofa_trained_vsn_fs,test,precision,0.3914568302068302,0.1376395406774079,0.125,0.75,0.4
train_test_split,linear_svm,mofa_trained_vsn_fs,test,recall,0.5666666666666665,0.1887648905597806,0.1666666666666666,0.8333333333333334,0.6666666666666666
train_test_split,linear_svm,mofa_trained_vsn_fs,test,f1,0.451143121584298,0.134508110799183,0.1428571428571428,0.6666666666666666,0.4880952380952381
train_test_split,linear_svm,mofa_trained_vsn_fs,test,pr_auc,0.56984747967423,0.142656547926617,0.1662961133069828,0.7708333333333333,0.592063492063492
train_test_split,random_forest,mofa_trained_lg2,test,balanced_accuracy,0.6872222222222221,0.0992966966817271,0.45,0.8833333333333333,0.6666666666666667
train_test_split,random_forest,mofa_trained_lg2,test,precision,0.6534126984126984,0.2704534332494036,0.0,1.0,0.6666666666666666
train_test_split,random_forest,mofa_trained_lg2,test,recall,0.4222222222222221,0.199296335576452,0.0,0.8333333333333334,0.5
train_test_split,random_forest,mofa_trained_lg2,test,f1,0.4916059866059866,0.199916648667895,0.0,0.8,0.4722222222222222
train_test_split,random_forest,mofa_trained_lg2,test,pr_auc,0.5326474324587478,0.1645539476453913,0.1696234049175226,0.8636363636363635,0.5705312049062049
train_test_split,random_forest,mofa_trained_lg2_fs,test,balanced_accuracy,0.6333333333333332,0.0926411111706201,0.45,0.8,0.6416666666666666
train_test_split,random_forest,mofa_trained_lg2_fs,test,precision,0.4713919413919413,0.2576271957098994,0.0,1.0,0.5
train_test_split,random_forest,mofa_trained_lg2_fs,test,recall,0.361111111111111,0.2102877673166322,0.0,0.8333333333333334,0.3333333333333333
